terms_to_comp_elapsed,majors,num_coop_terms,comp_gpa,comp_acad_yr,basis_of_admission,avg_units_per_term
16,Software Engineering Major,1,3.4910692089701656,2007/08,Other,11.061006134414537
16,Buisiness and Computing Science Joint Major,0,3.1407167619308303,2007/08,Post-Secondary,9.415289255311619
15,Buisiness and Computing Science Joint Major,4,2.1268557440684326,2007/08,Post-Secondary,12.604253672687301
16,Buisiness and Computing Science Joint Major,0,2.453583437775225,2014/15,Post-Secondary,10.762354441422662
16,Computing Science and Mathematics Joint Major,2,2.6474988056482984,2008/09,Other,10.352017122157806
15,Computing Science Major,3,3.3800857590807087,2004/05,Other,12.144834452586428
15,Computing Science Major,2,2.790904473896604,2005/06,Other,11.398525698224953
15,Buisiness and Computing Science Joint Major,2,2.6245860036655166,2007/08,Other,12.578090412316916
16,Software Engineering Major,2,4.33,2016/17,Post-Secondary,9.835817315740266
18,Buisiness and Computing Science Joint Major,3,3.0447924063031424,2015/16,Secondary,11.531411482013864
18,Software Engineering Major,0,2.331072945369711,2018/19,Other,10.267435164711612
14,Computing Science and Mathematics Joint Major,2,2,2017/18,Secondary,11.062752502992007
16,Computing Science and Mathematics Joint Major,0,4.269338771042403,2005/06,Other,9.965789980373895
17,Computing Science and Mathematics Joint Major,1,3.5327917985350443,2007/08,Post-Secondary,11.057284784038288
15,Software Engineering Major,3,3.7727391743454146,2009/10,Secondary,9.486401602098258
16,Computing Science Major,3,2.734005023143164,2005/06,Other,10.36450904278692
16,Software Engineering Major,3,2.903088763056914,2011/12,Secondary,11.135624543346854
16,Buisiness and Computing Science Joint Major,1,4.33,2009/10,Secondary,11.31683332924971
15,Software Engineering Major,0,2,2006/07,Other,10.171328810015664
16,Computing Science and Mathematics Joint Major,4,2.933286554859891,2006/07,Other,11.614376958560335
15,Computing Science and Mathematics Joint Major,1,2.972844103797149,2015/16,Secondary,10.809235430153555
17,Computing Science and Mathematics Joint Major,4,3.520976767796782,2009/10,Secondary,10.16048254609215
16,Computing Science Major,1,2.7049683567416336,2015/16,Other,11.269229523989686
16,Software Engineering Major,4,2,2006/07,Other,10.511798945211085
17,Computing Science and Mathematics Joint Major,4,2,2008/09,Post-Secondary,11.485006534241963
16,Buisiness and Computing Science Joint Major,1,2.0782844594135175,2016/17,Other,10.445068813145861
17,Computing Science and Mathematics Joint Major,2,2.84519302650293,2015/16,Other,10.413080025129501
18,Computing Science Major,0,4.33,2017/18,Other,9.426721390138145
17,Computing Science Major,1,2.2176961189834192,2009/10,Post-Secondary,10.731628165571884
14,Computing Science Major,2,2,2005/06,Post-Secondary,11.538393227956366
16,Computing Science Major,0,4.33,2015/16,Secondary,10.122072655300222
16,Computing Science and Mathematics Joint Major,4,2.736920311854773,2004/05,Secondary,8.291033294311612
14,Software Engineering Major,1,3.4208407718987606,2007/08,Other,9.53114869675384
15,Software Engineering Major,3,2,2018/19,Secondary,9.13500518870925
18,Computing Science Major,0,2,2014/15,Other,11.033052087906773
16,Computing Science and Mathematics Joint Major,1,4.33,2010/11,Post-Secondary,10.288293824123764
18,Computing Science and Mathematics Joint Major,0,3.935065623515456,2010/11,Post-Secondary,11.958018280022841
17,Computing Science and Mathematics Joint Major,3,2.7274818498340947,2007/08,Post-Secondary,12.904004717217575
16,Computing Science and Mathematics Joint Major,0,3.352351813999614,2008/09,Post-Secondary,12.422780404306708
16,Buisiness and Computing Science Joint Major,4,2.3673907202706133,2015/16,Secondary,11.102606233313692
16,Software Engineering Major,4,3.9815103739810014,2014/15,Secondary,12.242469894767886
16,Computing Science and Mathematics Joint Major,1,2.4868234499184076,2018/19,Secondary,10.351334289121187
17,Buisiness and Computing Science Joint Major,2,3.9195137623513405,2014/15,Secondary,9.828396927767491
14,Buisiness and Computing Science Joint Major,1,2,2006/07,Post-Secondary,10.611308490087826
14,Buisiness and Computing Science Joint Major,0,3.041661241860617,2010/11,Secondary,11.477813720343555
16,Computing Science and Mathematics Joint Major,4,2.981338514557027,2018/19,Post-Secondary,10.175482942402699
15,Computing Science Major,4,3.364412043475957,2008/09,Other,10.459873320892799
16,Software Engineering Major,3,2.36147963545479,2005/06,Post-Secondary,9.727485777489104
17,Software Engineering Major,3,3.913481271002067,2008/09,Secondary,11.871714057046095
16,Computing Science and Mathematics Joint Major,0,4.095642344408035,2011/12,Secondary,11.034691287424538
17,Computing Science and Mathematics Joint Major,2,3.8526293883975846,2015/16,Secondary,12.523389302499533
17,Buisiness and Computing Science Joint Major,1,2.8892521024578928,2015/16,Secondary,11.685623878736406
14,Buisiness and Computing Science Joint Major,4,3.0559991367578787,2004/05,Other,11.396801210491294
17,Computing Science and Mathematics Joint Major,4,4.33,2017/18,Secondary,11.104603101580274
15,Computing Science Major,0,2.4483732684308768,2015/16,Secondary,12.486804374004215
16,Buisiness and Computing Science Joint Major,0,2,2015/16,Secondary,11.235899523586014
16,Software Engineering Major,1,3.2313157404944293,2010/11,Post-Secondary,11.978154383437147
15,Buisiness and Computing Science Joint Major,2,3.801104490740802,2016/17,Other,11.611956755031203
17,Computing Science Major,4,3.1081546327064973,2005/06,Other,11.424277573404925
17,Software Engineering Major,1,3.302838108146073,2010/11,Post-Secondary,11.506301639073467
16,Computing Science and Mathematics Joint Major,1,2.2729960423471023,2014/15,Secondary,11.449446248164922
16,Buisiness and Computing Science Joint Major,2,4.0125334958888805,2009/10,Post-Secondary,11.41614386282911
16,Buisiness and Computing Science Joint Major,1,2.50682959612476,2018/19,Other,11.003290040402373
15,Computing Science and Mathematics Joint Major,0,2,2004/05,Other,12.399770472130914
16,Computing Science and Mathematics Joint Major,0,2.845647190196223,2015/16,Secondary,10.748443680342266
16,Software Engineering Major,3,2.794693470517634,2011/12,Post-Secondary,11.396415171880669
16,Software Engineering Major,2,4.33,2017/18,Secondary,10.44972326437844
15,Computing Science and Mathematics Joint Major,0,2.6919537286357262,2009/10,Post-Secondary,9.493373792179518
16,Computing Science Major,4,4.184171900205973,2008/09,Post-Secondary,11.884474404385271
17,Computing Science and Mathematics Joint Major,0,3.22845304497204,2008/09,Post-Secondary,11.169388973841688
17,Software Engineering Major,1,2.735038526858594,2013/14,Post-Secondary,10.182468068186848
14,Software Engineering Major,3,3.4697241514310617,2010/11,Post-Secondary,12.731245858218792
16,Computing Science and Mathematics Joint Major,4,2.7850747833842138,2015/16,Post-Secondary,10.825046506940756
17,Computing Science and Mathematics Joint Major,4,4.33,2008/09,Post-Secondary,11.279611160102052
16,Software Engineering Major,2,2.081712085810188,2013/14,Post-Secondary,9.154884830895504
17,Computing Science and Mathematics Joint Major,3,4.33,2004/05,Secondary,11.352657942080743
14,Software Engineering Major,4,3.321758643990281,2005/06,Post-Secondary,11.259350390295445
18,Software Engineering Major,2,2.9176124196666757,2016/17,Post-Secondary,10.309372700563532
16,Computing Science and Mathematics Joint Major,3,2.493684232895234,2016/17,Other,10.785698674527527
15,Buisiness and Computing Science Joint Major,0,2.1385993482883974,2014/15,Other,11.776037267295647
15,Buisiness and Computing Science Joint Major,1,2.7417522590888237,2018/19,Secondary,10.215117742185264
16,Buisiness and Computing Science Joint Major,1,3.50458278458178,2015/16,Post-Secondary,9.737465406560402
15,Computing Science Major,4,3.763319145212829,2017/18,Secondary,10.463175992263071
18,Computing Science Major,1,2,2011/12,Secondary,10.25753507580956
17,Buisiness and Computing Science Joint Major,2,2.507182497182272,2005/06,Post-Secondary,12.075146169180416
15,Buisiness and Computing Science Joint Major,4,3.3746793575000846,2008/09,Secondary,11.588326857468553
16,Computing Science and Mathematics Joint Major,3,3.317866663025036,2016/17,Post-Secondary,11.316078546950871
17,Buisiness and Computing Science Joint Major,1,2,2004/05,Post-Secondary,12.553206593008836
15,Computing Science and Mathematics Joint Major,3,2.717170351721117,2018/19,Post-Secondary,12.422543013342674
16,Buisiness and Computing Science Joint Major,4,2.6791403643962424,2011/12,Post-Secondary,9.9273383072602
17,Buisiness and Computing Science Joint Major,1,2.6520763499134303,2016/17,Other,10.992843617985434
17,Computing Science and Mathematics Joint Major,1,3.2346228187593513,2015/16,Other,10.561113355443483
16,Buisiness and Computing Science Joint Major,0,3.9922540516632363,2015/16,Secondary,10.8825031208549
16,Computing Science and Mathematics Joint Major,2,4.270818691474809,2018/19,Post-Secondary,9.955479558325504
16,Computing Science Major,2,3.3049515711237003,2011/12,Secondary,11.364246807419072
17,Computing Science and Mathematics Joint Major,2,2,2010/11,Post-Secondary,11.605929562844903
17,Software Engineering Major,4,3.4183605293691346,2009/10,Secondary,11.716896297701622
17,Computing Science Major,1,4.242467699890698,2004/05,Other,12.09954094172326
14,Software Engineering Major,3,2,2010/11,Secondary,11.306176351636209
13,Software Engineering Major,1,3.355581987965465,2009/10,Secondary,11.303019940617087
16,Software Engineering Major,4,2.4429991308393406,2008/09,Secondary,11.615887620664587
14,Computing Science and Mathematics Joint Major,0,4.33,2016/17,Post-Secondary,11.266835864957448
16,Computing Science Major,4,2.0609421848372533,2006/07,Secondary,11.437476714730966
15,Buisiness and Computing Science Joint Major,3,4.226265377100916,2006/07,Other,10.899060020523113
16,Computing Science Major,0,3.093734933984327,2014/15,Secondary,9.396413768207942
15,Computing Science and Mathematics Joint Major,1,3.9598184210779084,2017/18,Secondary,9.238019066690983
16,Computing Science and Mathematics Joint Major,1,2.066064173258109,2017/18,Secondary,12.023760515302367
15,Buisiness and Computing Science Joint Major,3,3.054324553705819,2004/05,Secondary,11.302581611417676
18,Software Engineering Major,2,2.912950893150682,2016/17,Secondary,10.40984237054275
16,Computing Science and Mathematics Joint Major,0,4.020318803821117,2016/17,Secondary,11.66813073413301
16,Buisiness and Computing Science Joint Major,4,3.574379067927812,2018/19,Secondary,11.512599207512265
17,Software Engineering Major,1,2.4690602413744687,2005/06,Other,11.769757664609626
15,Computing Science and Mathematics Joint Major,4,2,2005/06,Other,11.736288954696048
15,Buisiness and Computing Science Joint Major,1,3.8585203920501634,2016/17,Other,11.40958442834182
16,Software Engineering Major,3,2,2009/10,Other,11.028551589117042
16,Computing Science and Mathematics Joint Major,2,3.1820933972645884,2016/17,Other,12.024841225701321
16,Buisiness and Computing Science Joint Major,4,2.2794666059210154,2014/15,Post-Secondary,11.03164730092108
18,Computing Science and Mathematics Joint Major,4,2.899153379558956,2006/07,Post-Secondary,12.011994624974957
17,Computing Science and Mathematics Joint Major,3,3.49705926737054,2004/05,Other,11.223161639789991
15,Software Engineering Major,4,2.1556057167087084,2011/12,Secondary,10.315100190923134
17,Buisiness and Computing Science Joint Major,0,3.241264243894467,2013/14,Post-Secondary,12.094774609189258
16,Computing Science and Mathematics Joint Major,2,3.964976256358163,2004/05,Other,10.970564574313249
16,Buisiness and Computing Science Joint Major,4,3.2048094594232075,2005/06,Post-Secondary,10.063639164861225
15,Computing Science and Mathematics Joint Major,2,2.48909428290125,2009/10,Post-Secondary,10.573404204887701
14,Computing Science Major,0,2.9674234780156743,2009/10,Other,9.833696922937513
15,Computing Science Major,0,3.7367855919110333,2017/18,Post-Secondary,11.127656259199755
16,Computing Science and Mathematics Joint Major,4,4.33,2016/17,Other,11.525662679358293
15,Computing Science Major,4,3.0840202899371096,2004/05,Secondary,10.84984546578151
15,Buisiness and Computing Science Joint Major,1,2,2010/11,Other,11.199553132016376
16,Computing Science and Mathematics Joint Major,2,2.443234629420133,2016/17,Post-Secondary,10.86992390709656
15,Computing Science Major,2,4.33,2016/17,Other,10.184592184083371
16,Computing Science and Mathematics Joint Major,2,3.133409261420114,2011/12,Other,11.46921669277073
16,Software Engineering Major,2,2.675026900177548,2015/16,Other,11.12068800122368
16,Computing Science and Mathematics Joint Major,0,2,2018/19,Other,9.875456067429308
17,Buisiness and Computing Science Joint Major,0,2,2010/11,Post-Secondary,11.660077113567471
18,Computing Science and Mathematics Joint Major,1,4.33,2006/07,Secondary,12.321466886911866
16,Buisiness and Computing Science Joint Major,0,2.9356000599501977,2011/12,Other,12.515620804700859
14,Computing Science and Mathematics Joint Major,3,2.7062256710538826,2004/05,Secondary,9.204392051083799
15,Computing Science Major,0,2.6591424248248434,2009/10,Secondary,10.476843701591184
16,Software Engineering Major,3,3.302512326472497,2018/19,Post-Secondary,11.158002368125945
16,Computing Science and Mathematics Joint Major,0,2,2016/17,Other,12.790755212549387
14,Buisiness and Computing Science Joint Major,3,2.6036305130071007,2009/10,Secondary,10.330609334972696
16,Software Engineering Major,2,2.3752525053283673,2004/05,Other,11.01916164023923
17,Computing Science and Mathematics Joint Major,4,3.6666531383516556,2009/10,Post-Secondary,12.694309694880848
16,Computing Science Major,4,2,2018/19,Other,11.79888934539244
19,Computing Science and Mathematics Joint Major,0,2.4381709258839193,2015/16,Other,12.711991349786672
19,Buisiness and Computing Science Joint Major,4,2.570267078118028,2008/09,Other,10.690333802495175
15,Buisiness and Computing Science Joint Major,4,4.33,2006/07,Other,9.485020960063107
16,Software Engineering Major,2,2.8007918820183333,2004/05,Post-Secondary,11.41626877486824
17,Software Engineering Major,0,3.763402582534077,2004/05,Secondary,12.336742547490813
15,Software Engineering Major,4,3.6106014437005487,2014/15,Post-Secondary,11.837979633227517
16,Computing Science and Mathematics Joint Major,4,3.2854340596120357,2008/09,Secondary,10.033907100484184
17,Computing Science Major,4,3.9067246824869803,2016/17,Secondary,11.604000960628204
16,Computing Science Major,0,2.184196236409438,2018/19,Other,11.374873047785721
17,Computing Science and Mathematics Joint Major,3,2.6956761331228383,2014/15,Other,10.804530736249287
17,Software Engineering Major,0,4.024467771443,2014/15,Secondary,10.607548814544906
16,Buisiness and Computing Science Joint Major,1,2,2015/16,Other,11.672445491825835
17,Computing Science and Mathematics Joint Major,1,2,2011/12,Secondary,10.909671936081489
14,Buisiness and Computing Science Joint Major,1,3.795109020193508,2016/17,Secondary,11.964860909688896
16,Computing Science Major,4,2,2017/18,Post-Secondary,9.872309042780092
17,Buisiness and Computing Science Joint Major,1,2.2995532161796715,2010/11,Secondary,10.591944333304287
16,Computing Science and Mathematics Joint Major,2,3.7169564923804534,2010/11,Post-Secondary,8.814346391911233
16,Computing Science and Mathematics Joint Major,2,3.8467670370457347,2015/16,Post-Secondary,8.418181862747552
15,Software Engineering Major,0,2.105800878588827,2004/05,Post-Secondary,11.8693067084223
17,Computing Science Major,2,2,2016/17,Post-Secondary,10.854959217654574
16,Software Engineering Major,2,2,2018/19,Secondary,10.979983582444326
15,Software Engineering Major,0,4.33,2004/05,Secondary,10.38866003751303
16,Software Engineering Major,3,4.120948602654966,2009/10,Post-Secondary,12.169986357457551
15,Computing Science and Mathematics Joint Major,0,2.6165746443818128,2007/08,Other,11.450764567604924
16,Computing Science and Mathematics Joint Major,2,4.33,2013/14,Other,12.075455105776125
16,Computing Science and Mathematics Joint Major,3,2.785591029712692,2010/11,Post-Secondary,10.315283676242442
17,Software Engineering Major,4,2.6094061184224895,2011/12,Secondary,10.797956311368562
14,Buisiness and Computing Science Joint Major,3,4.33,2008/09,Other,10.736261499349078
16,Computing Science and Mathematics Joint Major,2,2.0610577242408805,2011/12,Other,9.197994799722597
17,Buisiness and Computing Science Joint Major,3,3.165142569391411,2011/12,Post-Secondary,13.087308550617738
16,Computing Science Major,1,2.4435197765676913,2017/18,Post-Secondary,10.837017045803877
15,Software Engineering Major,0,2.909207035070678,2009/10,Post-Secondary,10.173174424110199
14,Software Engineering Major,4,4.33,2016/17,Other,10.172725694369719
15,Buisiness and Computing Science Joint Major,4,4.33,2009/10,Post-Secondary,10.703157474146686
15,Software Engineering Major,0,4.33,2004/05,Secondary,12.772324426354382
16,Computing Science Major,1,2.826595299808861,2009/10,Post-Secondary,10.910786454828486
17,Buisiness and Computing Science Joint Major,4,2.8619717539576732,2014/15,Other,11.390531531925525
16,Computing Science Major,2,2,2009/10,Secondary,10.628414712635218
15,Software Engineering Major,4,3.187464057702318,2006/07,Other,12.032695738124373
16,Computing Science and Mathematics Joint Major,0,2.1082744097003623,2014/15,Secondary,10.28100880999267
14,Computing Science and Mathematics Joint Major,1,2,2010/11,Other,11.667627010280242
15,Buisiness and Computing Science Joint Major,0,2.727953945153394,2010/11,Other,10.199451856255406
16,Software Engineering Major,4,2,2011/12,Other,10.523490655838788
16,Computing Science Major,4,4.050248694352291,2016/17,Other,11.780435724173879
16,Buisiness and Computing Science Joint Major,1,3.0441233523493016,2004/05,Other,10.725327916504895
17,Buisiness and Computing Science Joint Major,4,2.4392705510002037,2010/11,Secondary,10.944207048355853
17,Buisiness and Computing Science Joint Major,0,2,2014/15,Secondary,10.007625833699041
17,Buisiness and Computing Science Joint Major,0,3.425599440588307,2014/15,Other,10.411773520748302
15,Buisiness and Computing Science Joint Major,2,3.142754951769312,2013/14,Secondary,10.28611927524539
15,Computing Science Major,4,3.473457797171422,2014/15,Post-Secondary,12.845946044678845
16,Software Engineering Major,2,2.4858720775212664,2016/17,Other,10.595729662646292
14,Computing Science and Mathematics Joint Major,4,4.33,2017/18,Other,9.069472520913196
16,Computing Science Major,4,3.879008524236752,2013/14,Post-Secondary,10.471570996032089
16,Computing Science Major,1,4.33,2010/11,Secondary,8.805944782374684
17,Computing Science and Mathematics Joint Major,2,3.9518184542799477,2004/05,Post-Secondary,8.665076112038555
16,Buisiness and Computing Science Joint Major,1,3.422840947022964,2009/10,Secondary,11.269615873080863
16,Buisiness and Computing Science Joint Major,0,3.617707129197892,2013/14,Other,9.079541518712926
16,Buisiness and Computing Science Joint Major,3,2,2008/09,Other,11.32928854088152
16,Computing Science Major,1,3.3278358854509835,2013/14,Post-Secondary,10.507158913146442
17,Buisiness and Computing Science Joint Major,0,2,2005/06,Secondary,10.15236271018735
14,Computing Science Major,0,2,2013/14,Other,11.695655392292641
16,Computing Science and Mathematics Joint Major,1,2.510130468403615,2018/19,Other,10.222616254769608
15,Software Engineering Major,3,3.771842894395586,2009/10,Secondary,10.172452117715554
16,Computing Science and Mathematics Joint Major,4,3.5200637283175658,2004/05,Post-Secondary,10.750852910799317
14,Software Engineering Major,4,4.022689216892862,2009/10,Secondary,10.648939782654093
17,Computing Science and Mathematics Joint Major,1,2,2010/11,Secondary,10.20226732423674
16,Software Engineering Major,0,3.812774512262112,2010/11,Secondary,11.445486686220516
17,Software Engineering Major,3,2.6676602866939807,2008/09,Other,11.69611552449662
16,Software Engineering Major,3,2.6725944036871248,2016/17,Other,10.956344985706453
16,Buisiness and Computing Science Joint Major,4,3.091092060175737,2015/16,Post-Secondary,12.115265313050113
17,Computing Science and Mathematics Joint Major,0,3.7325247627275173,2011/12,Post-Secondary,9.784576030550989
17,Computing Science and Mathematics Joint Major,2,3.020669942302431,2018/19,Secondary,12.721151929680442
15,Software Engineering Major,1,3.3053873873973543,2007/08,Secondary,11.044501027021099
15,Computing Science Major,0,2.5206505665792367,2009/10,Other,10.799314007401689
16,Computing Science and Mathematics Joint Major,0,3.101072886365488,2018/19,Post-Secondary,12.17209849982646
16,Computing Science Major,0,2,2006/07,Post-Secondary,8.415928411182584
15,Buisiness and Computing Science Joint Major,1,3.881654117770788,2008/09,Other,10.642312888297443
16,Buisiness and Computing Science Joint Major,1,3.4710886393487965,2004/05,Secondary,9.414093834516738
15,Software Engineering Major,3,3.978850603703187,2015/16,Other,11.839973876527988
14,Computing Science and Mathematics Joint Major,2,2.8239537926661664,2017/18,Other,11.668183756611509
15,Buisiness and Computing Science Joint Major,0,3.2157994582167335,2004/05,Secondary,11.221468912700304
16,Computing Science and Mathematics Joint Major,4,4.33,2018/19,Other,11.516219139147427
16,Computing Science and Mathematics Joint Major,2,3.963873457695469,2017/18,Post-Secondary,9.910895446118285
16,Computing Science and Mathematics Joint Major,4,2.9269488314111016,2010/11,Secondary,10.982948075903225
14,Computing Science and Mathematics Joint Major,0,4.08071866736871,2009/10,Secondary,9.759770638908565
17,Software Engineering Major,1,3.115067680059414,2009/10,Post-Secondary,11.965067656684338
17,Software Engineering Major,0,4.046508689684321,2010/11,Post-Secondary,9.894927855745483
15,Computing Science Major,3,4.127287790886047,2008/09,Other,9.795805838304545
15,Software Engineering Major,2,2.9402711267855834,2015/16,Other,11.355266577180016
16,Computing Science and Mathematics Joint Major,1,3.976045824988115,2008/09,Post-Secondary,10.42956941299864
15,Buisiness and Computing Science Joint Major,1,3.102908978772009,2007/08,Secondary,10.5915717620951
16,Computing Science Major,0,4.33,2006/07,Other,11.287889091392215
17,Software Engineering Major,2,2.161282871814696,2016/17,Post-Secondary,10.642435296000542
15,Buisiness and Computing Science Joint Major,2,3.696072163424512,2005/06,Post-Secondary,10.400488004711525
15,Computing Science and Mathematics Joint Major,0,4.33,2015/16,Other,9.772610279331397
18,Software Engineering Major,0,4.028714106536336,2018/19,Secondary,10.913797344382901
16,Buisiness and Computing Science Joint Major,4,3.7310936651080358,2014/15,Other,9.636245738323165
16,Buisiness and Computing Science Joint Major,1,2,2014/15,Post-Secondary,11.447279160292775
16,Buisiness and Computing Science Joint Major,1,2.50530169374018,2007/08,Secondary,10.858444732274018
15,Computing Science and Mathematics Joint Major,0,3.446592842581331,2009/10,Post-Secondary,11.897196413321904
17,Software Engineering Major,2,2,2004/05,Secondary,12.555393175166108
16,Buisiness and Computing Science Joint Major,3,3.9905859915505992,2007/08,Other,10.844157675306844
16,Computing Science and Mathematics Joint Major,3,2,2005/06,Secondary,9.988824819869542
15,Buisiness and Computing Science Joint Major,2,3.676411001044964,2010/11,Other,11.154166538750156
15,Buisiness and Computing Science Joint Major,1,4.012214678866162,2008/09,Other,11.734742184345157
16,Buisiness and Computing Science Joint Major,2,2.347760148281972,2007/08,Post-Secondary,10.769955326822089
16,Buisiness and Computing Science Joint Major,1,2.634699750867778,2007/08,Post-Secondary,10.6112745570082
16,Computing Science and Mathematics Joint Major,1,3.1905935624911708,2016/17,Secondary,10.866040682848707
16,Computing Science and Mathematics Joint Major,3,3.781982889116013,2018/19,Secondary,12.725583850473024
16,Computing Science Major,1,2,2011/12,Post-Secondary,12.169436112895943
16,Computing Science Major,0,2,2009/10,Other,10.207187709111974
17,Computing Science and Mathematics Joint Major,2,3.8859451590035516,2017/18,Post-Secondary,10.664645886875281
15,Software Engineering Major,4,2,2016/17,Other,10.25189719600969
16,Computing Science and Mathematics Joint Major,4,2.8962311385132202,2014/15,Post-Secondary,9.460631474488961
16,Computing Science Major,1,2.551188275726221,2016/17,Other,12.3133264836999
17,Computing Science and Mathematics Joint Major,2,3.1618649830949836,2013/14,Post-Secondary,12.223125245441427
15,Software Engineering Major,1,4.33,2007/08,Secondary,9.13914336616204
16,Computing Science Major,3,2,2014/15,Secondary,11.858230646426293
17,Software Engineering Major,3,4.33,2009/10,Secondary,12.324480228656247
14,Software Engineering Major,3,3.8496628007582827,2009/10,Post-Secondary,8.770013842202834
15,Computing Science Major,1,3.6424239954465283,2017/18,Secondary,10.374966701426917
16,Computing Science Major,1,2,2015/16,Other,10.53648962834936
16,Computing Science Major,0,2.4678509147963044,2010/11,Secondary,11.873270575252521
14,Buisiness and Computing Science Joint Major,0,2,2016/17,Post-Secondary,10.227905452267802
16,Buisiness and Computing Science Joint Major,1,4.33,2005/06,Secondary,9.834394196488656
15,Computing Science and Mathematics Joint Major,0,4.27514186927601,2015/16,Secondary,9.896332558911713
17,Buisiness and Computing Science Joint Major,0,2,2011/12,Post-Secondary,10.628155968817783
15,Software Engineering Major,4,4.33,2008/09,Other,10.25594929531231
16,Computing Science Major,3,2,2008/09,Post-Secondary,10.468945337251208
